Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,6/7/,0.9285714285714286,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,6/7/,0.9285714285714286,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/4/,0.35714285714285715,0.0,0.0
7,6/7/,0.9285714285714286,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/4/,0.9285714285714286,0.5,1.0
5,4/,0.42857142857142855,0.0,0.0
6,4/,0.42857142857142855,0.0,0.0
7,7/,1.0,1.0,1.0
