"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","90760700","198/101165/691/","0.922541277219146/4.132254311058216E-221/0.07745872278085401/","0/5/","no"
"1","87830300","373066/109/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","94336900","331/373066/246/","0.41480670892315363/0.0/0.5851932910768464/","2/","no"
"3","91089600","1317511/128/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","86618500","1317511/220/525508/","0.0/1.0/0.0/","1/3/4/","no"
"5","88599800","222/1317511/215/","0.4918988571477974/0.0/0.5081011428522026/","0/2/5/","no"
"0","88294500","50/101165/209/","0.9576148281723593/0.0/0.042385171827640594/","0/5/","no"
"1","88464300","373066/113/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","89006200","94/373066/246/","0.8320183851339246/0.0/0.16798161486607552/","0/5/","no"
"3","85716800","1317511/188/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","86937900","1317511/246/716/","0.0/0.870211943307715/0.129788056692285/","1/3/4/","no"
"5","88138600","608/1317511/143/","0.038082762377593796/0.0/0.9619172376224062/","2/","no"
"0","88754400","68/101165/50/","0.41266937561800915/0.0/0.5873306243819909/","2/","no"
"1","86555200","373066/111/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","92080200","3186/373066/50/","1.973091165295996E-27/0.0/1.0/","2/","no"
"3","87475700","1317511/128/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","87057500","1317511/229/31982/","0.0/1.0/1.103606927485934E-60/","1/3/4/","no"
"5","94840100","1317511/1317511/143/","0.0/0.0/1.0/","2/","no"
"0","88668900","60/101165/55/","0.4776933883718698/0.0/0.5223066116281301/","0/2/5/","no"
"1","86190200","373066/111/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","90567800","3238/373066/109/","4.428901847921677E-13/0.0/0.9999999999995571/","2/","no"
"3","86102900","1317511/1173/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","87537000","1317511/186/81915/","0.0/1.0/1.5491272890460242E-190/","1/3/4/","no"
"5","88829000","608/1317511/143/","0.038082762377593796/0.0/0.9619172376224062/","2/","no"
"0","88162800","806/101165/83/","1.8276202963302224E-4/0.0/0.9998172379703669/","2/","no"
"1","87453000","373066/79/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","88136800","1239/373066/68/","4.261691761593633E-8/0.0/0.9999999573830824/","2/","no"
"3","84835100","1317511/188/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","86952900","1317511/229/12393/","0.0/1.0/1.0751934696175598E-23/","1/3/4/","no"
"5","88934400","1317511/1317511/143/","0.0/0.0/1.0/","2/","no"
"0","89618100","68/101165/79/","0.539770877284222/0.0/0.46022912271577787/","0/2/5/","no"
"1","89807700","373066/68/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","90618800","1239/373066/50/","7.498556479843334E-11/0.0/0.9999999999250144/","2/","no"
"3","84775600","1317511/1173/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","86009500","1317511/223/208227/","0.0/1.0/0.0/","1/3/4/","no"
"5","88556900","215/1317511/215/","0.5/0.0/0.5/","0/2/5/","no"
"0","88682400","103/101165/103/","0.5/0.0/0.5/","0/2/5/","no"
"1","87790800","373066/109/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","90379000","3238/373066/109/","4.428901847921677E-13/0.0/0.9999999999995571/","2/","no"
"3","87849300","1317511/3787/1317511/","2.4068311994382957E-151/1.0/2.4068311994382957E-151/","1/3/4/","no"
"4","92240600","1317511/81670/208227/","2.2113519720208814E-7/0.8248550944791503/0.17514468438565264/","1/3/4/","no"
"5","88401800","1317511/1317511/215/","0.0/0.0/1.0/","2/","no"
"0","89343300","68/101165/244/","0.9276221813616989/0.0/0.07237781863830105/","0/5/","no"
"1","89092900","373066/68/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","88661400","123/373066/246/","0.7294700471016324/0.0/0.27052995289836756/","0/5/","no"
"3","85172800","1317511/1173/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","87157900","1317511/216/1836/","0.0/0.999427793237246/5.722067627540683E-4/","1/3/4/","no"
"5","88171700","1317511/1317511/143/","0.0/0.0/1.0/","2/","no"
"0","87544000","79/101165/83/","0.5124973964842103/0.0/0.4875026035157897/","0/2/5/","no"
"1","88672200","373066/50/373066/","0.0/1.0/0.0/","1/3/4/","no"
"2","91115600","1239/373066/68/","4.261691761593633E-8/0.0/0.9999999573830824/","2/","no"
"3","86090500","1317511/451/1317511/","0.0/1.0/0.0/","1/3/4/","no"
"4","86480300","1317511/246/716/","0.0/0.870211943307715/0.129788056692285/","1/3/4/","no"
"5","89012600","1317511/1317511/215/","0.0/0.0/1.0/","2/","no"
"0","86825400","50/101165/209/","0.9576148281723593/0.0/0.042385171827640594/","0/5/","yes"
"1","91043800","373066/109/373066/","0.0/1.0/0.0/","1/3/4/","yes"
"2","90243000","257/373066/50/","0.016976157260375095/0.0/0.9830238427396248/","2/","yes"
"3","93066300","1317511/451/1317511/","0.0/1.0/0.0/","1/3/4/","yes"
"4","97121000","1317511/522/1317511/535/","0.0/0.5062138292081393/0.0/0.49378617079186077/","1/3/4/","yes"
"5","99573400","4314/1317511/4314/1317511/1317511/","0.5/3.379223177467553E-133/0.5/3.379223177467553E-133/3.379223177467553E-133/","0/2/5/","yes"
