Real_Goal,Results,BACC,Precision,Recall
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,1/,1.0,1.0,1.0
2,1/2/,0.9285714285714286,0.5,1.0
3,1/2/3/4/,0.7857142857142857,0.25,1.0
4,2/,0.42857142857142855,0.0,0.0
5,2/,0.42857142857142855,0.0,0.0
6,1/,0.42857142857142855,0.0,0.0
7,2/4/,0.35714285714285715,0.0,0.0
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,1/2/3/4/,0.7857142857142857,0.25,1.0
4,0/1/2/,0.2857142857142857,0.0,0.0
5,1/,0.42857142857142855,0.0,0.0
6,1/3/,0.35714285714285715,0.0,0.0
7,2/,0.42857142857142855,0.0,0.0
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,2/4/,0.35714285714285715,0.0,0.0
2,1/2/3/4/,0.7857142857142857,0.25,1.0
3,1/2/3/4/,0.7857142857142857,0.25,1.0
4,1/4/,0.9285714285714286,0.5,1.0
5,2/,0.42857142857142855,0.0,0.0
6,3/,0.42857142857142855,0.0,0.0
7,2/4/,0.35714285714285715,0.0,0.0
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,2/,0.42857142857142855,0.0,0.0
2,3/4/,0.35714285714285715,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.42857142857142855,0.0,0.0
5,1/,0.42857142857142855,0.0,0.0
6,2/4/,0.35714285714285715,0.0,0.0
7,1/2/4/,0.2857142857142857,0.0,0.0
0,0/3/,0.9285714285714286,0.5,1.0
1,2/4/,0.35714285714285715,0.0,0.0
2,2/,1.0,1.0,1.0
3,1/2/3/4/,0.7857142857142857,0.25,1.0
4,0/2/,0.35714285714285715,0.0,0.0
5,1/,0.42857142857142855,0.0,0.0
6,4/,0.42857142857142855,0.0,0.0
7,2/,0.42857142857142855,0.0,0.0
0,1/2/4/,0.2857142857142857,0.0,0.0
1,1/3/,0.9285714285714286,0.5,1.0
2,2/,1.0,1.0,1.0
3,1/4/,0.35714285714285715,0.0,0.0
4,2/,0.42857142857142855,0.0,0.0
5,1/4/,0.35714285714285715,0.0,0.0
6,1/2/3/4/,0.21428571428571427,0.0,0.0
7,2/,0.42857142857142855,0.0,0.0
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,1/,1.0,1.0,1.0
2,0/1/,0.35714285714285715,0.0,0.0
3,1/3/,0.9285714285714286,0.5,1.0
4,1/2/3/,0.2857142857142857,0.0,0.0
5,1/,0.42857142857142855,0.0,0.0
6,1/3/,0.35714285714285715,0.0,0.0
7,2/3/,0.35714285714285715,0.0,0.0
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,1/,1.0,1.0,1.0
2,1/4/,0.35714285714285715,0.0,0.0
3,1/2/3/4/,0.7857142857142857,0.25,1.0
4,0/4/,0.9285714285714286,0.5,1.0
5,1/2/3/4/,0.21428571428571427,0.0,0.0
6,4/,0.42857142857142855,0.0,0.0
7,2/,0.42857142857142855,0.0,0.0
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,1/3/,0.9285714285714286,0.5,1.0
2,1/3/4/,0.2857142857142857,0.0,0.0
3,1/2/3/4/,0.7857142857142857,0.25,1.0
4,1/,0.42857142857142855,0.0,0.0
5,2/,0.42857142857142855,0.0,0.0
6,1/3/,0.35714285714285715,0.0,0.0
7,3/,0.42857142857142855,0.0,0.0
0,1/2/3/4/,0.21428571428571427,0.0,0.0
1,1/4/,0.9285714285714286,0.5,1.0
2,1/2/4/,0.8571428571428572,0.3333333333333333,1.0
3,1/3/,0.9285714285714286,0.5,1.0
4,4/,1.0,1.0,1.0
5,1/4/,0.35714285714285715,0.0,0.0
6,0/1/2/4/5/,0.14285714285714285,0.0,0.0
7,2/5/,0.35714285714285715,0.0,0.0
